lon,lat,q
-127.787,47.7095,926.0
-127.789,47.7137,1111.0
-127.79,47.7141,700.0
-127.79,47.7156,504.0
-127.791,47.7164,384.0
-127.792,47.7171,323.0
-127.792,47.7178,296.0
-127.793,47.7185,264.0
-127.792,47.7193,254.0
-127.793,47.72,236.0
-127.791,47.7201,251.0
-127.791,47.7192,257.0
-127.789,47.7194,299.0
-127.787,47.7191,332.0
-127.786,47.7184,403.0
-127.785,47.7181,487.0
-127.784,47.7176,544.0
-127.782,47.7171,480.0
-127.774,47.7071,234.0
-127.775,47.7077,242.0
-127.776,47.7079,256.0
-127.778,47.7081,272.0
-127.778,47.7086,292.0
-127.78,47.7088,330.0
-127.78,47.7086,376.0
-127.781,47.7089,390.0
-127.782,47.709,441.0
-127.782,47.7089,506.0
-127.783,47.7095,625.0
-127.783,47.7094,826.0
-127.784,47.709,1244.0
-127.785,47.7094,1320.0
-127.79,47.7109,848.0
-127.788,47.7107,1433.0
-127.791,47.7112,704.0
-127.791,47.7108,642.0
-127.793,47.7119,433.0
-127.794,47.7118,373.0
-127.794,47.7122,323.0
-127.795,47.712,317.0
-127.796,47.7125,280.0
-127.797,47.7125,254.0
-127.798,47.7131,228.0
-127.801,47.7156,224.0
-127.802,47.7139,217.0
-127.79,47.7152,335.0
-127.788,47.7149,513.0
-127.787,47.7143,731.0
-127.784,47.7138,1797.0
-127.782,47.7129,1001.0
-127.781,47.7125,817.0
-127.783,47.7126,1254.0
-127.784,47.7125,1415.0
-127.784,47.7126,1128.0
-127.786,47.7132,2662.0
-127.787,47.7134,1122.0
-127.776,47.7216,213.0
-127.777,47.7225,215.0
-127.779,47.7224,210.0
-127.779,47.7224,213.0
-127.78,47.7231,207.0
-127.781,47.7226,205.0
-127.782,47.7233,200.0
-127.784,47.7231,211.0
-127.785,47.7237,201.0
-127.78,47.7245,206.0
-127.778,47.7241,205.0
-127.78,47.7232,205.0
-127.781,47.7228,201.0
-127.781,47.7207,200.0
-127.782,47.7201,204.0
