lon,lat,q
-116.15,41.4767,434.0
-116.1,41.4917,232.0
-116.15,41.465,1436.0
-116.14,41.4783,234.2
-116.14,41.4783,1018.0
-116.15,41.4817,2054.0
-121.29,43.74,191.8
-117.52,39.7983,557.0
-117.48,39.87,635.0
-117.5,39.875,343.0
-117.52,39.8783,288.0
-117.49,39.8967,279.0
-117.47,39.8083,184.5
-117.49,39.9033,653.8
-117.51,39.8917,170.1
-117.53,39.875,428.4
-117.49,39.8,409.0
-117.51,39.8533,381.2
-117.51,39.8333,315.8
-117.5,39.8183,512.0
-117.49,39.8133,427.7
-117.52,39.7933,485.1
-117.5,39.785,648.9
-117.49,39.7933,267.4
-117.5,39.7683,271.6
-117.53,39.7683,220.2
-117.54,39.79,189.0
-117.5,39.8833,181.3
-117.49,39.8533,270.0
-117.51,39.8433,493.0
-117.62,39.74,237.0
-117.59,39.7217,175.0
-117.53,39.815,222.7
-117.49,39.8683,1117.6
-117.49,39.865,413.0
-117.49,39.8667,238.0
-117.53,39.835,306.0
-117.46,39.8517,669.0
-117.66,37.9083,361.8
-117.66,37.9083,723.6
-118.05,37.86,1274.0
-121.29,43.7433,238.4
-118.07,39.7833,1356.0
-118.07,39.795,2790.0
-117.99,39.71,259.4
-117.99,39.71,439.9
-118.02,39.6617,432.5
-118.02,39.6617,1773.5
-118.04,39.67,186.0
-118.0,39.6917,182.0
-118.0,39.6917,342.0
-118.0,39.6917,424.0
-118.0,39.6917,206.9
-117.99,39.6767,252.0
-117.99,39.6767,912.0
-117.99,39.6767,401.3
-106.67,35.8167,1297.0
-106.68,35.86,176.0
-106.68,35.8083,322.0
-106.69,35.7883,264.0
-106.69,35.7767,364.0
-106.69,35.7633,255.0
-106.65,35.8283,460.0
-118.92,40.22,366.9
-118.93,40.2,333.8
-118.93,40.22,193.6
-118.9,40.2167,425.5
-118.92,40.2283,234.4
-118.95,40.25,183.5
-118.94,40.1717,183.5
-112.51,46.0217,186.2
-119.4,40.3683,277.6
-121.3,41.72,544.0
-121.76,42.23,3526.4
-121.76,42.2267,540.0
-119.36,40.68,222.0
-113.4,42.0933,376.3
-119.02,39.7867,6023.6
-119.34,40.8817,326.0
-119.33,40.8717,502.0
-113.45,42.07,576.9
-113.44,42.0767,2660.0
-119.01,39.76,1209.1
-113.55,42.0783,460.5
-119.01,39.7967,5693.6
-119.0,39.8083,7609.8
-116.59,40.5683,520.0
-119.39,40.6467,565.0
-119.02,39.7817,2763.2
-113.45,42.0667,6176.5
-119.01,39.775,7730.8
-113.45,42.0667,4906.5
-118.55,39.5633,510.0
-118.55,39.595,238.0
-118.53,39.5117,310.0
-113.51,42.0633,286.9
-116.6,40.5633,2100.0
-113.47,42.065,327.1
-116.61,40.5667,280.0
-119.37,40.6467,318.0
-116.57,40.5833,220.0
-119.38,40.6567,218.0
-113.42,42.0867,971.3
-119.02,39.8117,568.0
-119.39,40.6517,418.0
-113.42,42.0817,6037.5
-113.43,42.0817,5832.8
-116.59,40.575,820.0
-119.02,39.775,612.9
-113.53,42.0617,5250.0
-116.54,40.58,310.0
-119.34,40.7817,502.0
-113.51,42.055,1361.1
-118.07,39.6717,257.0
-118.59,42.3267,293.0
-118.62,42.3183,188.0
-118.6,42.3133,402.0
-118.6,42.3,293.0
-118.64,39.38,800.1
-118.6,39.3267,211.4
-117.23,43.98,577.4
-117.23,43.98,292.2
-118.02,39.8467,1244.4
-118.82,38.3517,305.8
-118.92,40.225,197.8
-117.5,40.7733,350.0
-116.61,40.57,325.0
-116.62,40.5633,261.3
-116.6,40.5633,378.3
-119.01,39.7867,316.8
-116.61,40.56,293.8
-118.95,39.7533,764.4
-116.6,40.56,385.6
-118.92,39.76,209.0
-116.61,40.5583,237.5
-116.61,40.5583,391.5
-116.6,40.56,2932.5
-116.59,40.5817,190.1
-116.62,40.555,225.9
-119.02,39.79,4206.4
-116.6,40.5567,354.5
-116.6,40.5567,383.5
-116.59,40.5583,861.2
-116.61,40.5533,173.6
-116.6,40.5533,358.4
-116.59,40.555,280.3
-119.02,39.79,1578.1
-116.6,40.5517,1237.6
-116.58,40.5533,598.2
-116.62,40.545,242.0
-119.02,39.79,3271.4
-116.61,40.5467,280.0
-116.61,40.55,295.6
-119.01,39.79,1124.2
-119.01,39.79,2741.2
-119.4,40.3683,1927.8
-119.01,39.79,237.6
-116.57,40.5733,191.9
-106.61,35.91,258.5
-106.58,35.8867,780.0
-106.57,35.895,350.0
-106.59,35.8767,189.8
-106.57,35.895,780.0
-106.58,35.8833,780.0
-106.58,35.8933,561.6
-106.57,35.9017,177.5
-106.57,35.9017,467.5
-106.58,35.8933,780.0
-106.6,35.9217,180.0
-106.6,35.9217,936.0
-106.57,35.895,561.6
-106.57,35.8983,561.6
-106.57,35.8967,561.6
-106.58,35.8867,592.8
-106.61,35.9117,436.8
-106.57,35.89,780.0
-106.58,35.88,780.0
-106.58,35.8883,780.0
-106.59,35.94,180.0
-106.59,35.94,936.0
-121.98,44.7817,879.0
-116.18,43.6167,2637.2
-116.18,43.6167,307.0
-104.57,30.02,638.0
-104.57,30.0383,173.7
-116.59,40.5633,4200.0
-116.59,40.56,1400.0
-116.89,40.51,179.7
-116.92,40.5533,303.0
-117.18,40.8317,221.1
-117.24,40.7933,434.1
-117.0,40.82,365.7
-116.72,40.6617,172.9
-116.53,40.6217,233.4
-116.65,40.7617,188.4
-116.9,40.8617,212.9
-117.56,40.5433,183.3
-116.62,40.97,253.9
-117.28,40.9233,289.5
-117.37,40.8033,273.9
-117.56,40.5483,200.4
-117.23,40.9933,484.8
-116.86,40.9433,339.8
-113.14,38.15,255.0
-117.17,40.9633,181.5
-117.14,40.9133,580.3
-116.77,40.6033,231.6
-116.54,40.48,195.2
-116.48,40.3267,190.0
-116.45,40.485,195.3
-118.14,40.9883,1850.0
-116.98,40.5383,172.0
