lat,lon,q,dist_min_km,dist_gem_km,dist_pb_km
-63.89,127.88,43.0,2597.5635173282494,2597.626728493523,2597.5635173282494
-63.87,-65.65,107.0,369.0944090722373,403.0017069441193,369.0944090722373
-63.82,-66.35,62.1,420.2941460098825,434.5015848317156,420.2941460098825
-63.8,78.89,64.0,3917.2534183366683,3917.2534183366683,3917.268850184595
-63.75,-66.41,142.6,414.7720335269109,424.90143590923344,414.7720335269109
-63.75,-66.41,145.5,414.7720335269109,424.90143590923344,414.7720335269109
-63.75,64.31,54.0,4494.529577759715,4494.529577759715,4494.543358136087
-63.74,130.51,70.0,2381.0163971956486,2381.052559272713,2381.0163971956486
-63.72,112.33,53.0,2771.6935170657857,2771.6935170657857,2771.7457741641683
-63.69,-66.61,136.5,423.13514984718626,428.3790725689061,423.13514984718626
-63.69,-66.54,116.1,416.97477761310654,423.0691692188387,416.97477761310654
-63.69,-66.53,117.2,416.09472443680806,422.3168988019228,416.09472443680806
-63.68,-97.99,55.0,3004.3348451670568,3004.3348451670568,3004.3972955058553
-63.67,-66.62,115.4,420.94023509308977,425.5121903404516,420.94023509308977
-63.67,-66.61,126.2,420.06018191679277,424.7409068503246,420.06018191679277
-63.67,-66.6,119.5,419.1801287404943,423.9711431000329,419.1801287404943
-63.53,103.5,71.0,2915.886304925146,2915.886304925146,2915.919272823686
-63.39,-68.45,108.9,552.0267812119556,552.0981715319645,552.0267812119556
-63.38,-68.43,114.4,548.9519608349264,549.0231802370778,548.9519608349264
-63.37,-68.41,111.3,545.8805791127912,545.9516253767201,545.8805791127912
-63.36,-68.42,117.7,545.8421451343224,545.9128270085461,545.8421451343224
-63.36,-68.41,110.2,544.8319213625624,544.9026660524534,544.8319213625624
-63.35,-68.42,106.0,544.8050903694422,544.8754686006035,544.8050903694422
-63.32,116.0,49.0,2674.466702377973,2674.466702377973,2674.5189033855545
-63.29,115.99,49.0,2666.966539909036,2666.966539909036,2667.018741720144
-63.12,81.05,67.0,3650.0864415497444,3650.0864415497444,3650.0961158475648
-63.1167,-20.0833,57.4,548.6290970867791,548.6290970867791,548.6785558727223
-63.1,-38.45,105.0,453.3859481294009,453.4306692377992,453.3859481294009
-63.08333,178.46667,34.0,385.0596456465534,385.09597907467503,385.0596456465534
-62.9833,-19.7333,34.3,513.8824160664703,513.8824160664703,513.9273086421446
-62.83,137.01,56.0,1631.3953100535173,1631.4359438728263,1631.3953100535173
-62.81,75.12,52.0,3870.974773217611,3870.974773217611,3871.033783646489
